record_id,name,type,size
20549,md_arrhenius_crambin.sav,sav,8397
20549,md_arrhenius_crambin_averaged.spv,spv,43743
20548,rmsd_grace_datafiles.zip,zip,206000
20548,dssp_files.zip,zip,419587
20544,gromacs_files.zip,zip,6398620
35193,1000.tpr,tpr,1561768
35193,300.xtc,xtc,198354276
35193,500.gro,gro,3723434
35193,500.tpr,tpr,1557232
35193,130.ndx,ndx,1736468
35193,130.top,top,276
35193,1000.top,top,277
35193,130.tpr,tpr,1554624
35193,500.xtc,xtc,199059704
35193,130.gro,gro,2422946
35193,750.tpr,tpr,1559528
35193,300.gro,gro,3719018
35193,1000.gro,gro,3734613
35193,750.gro,gro,3729092
35193,300.ndx,ndx,1574434
35193,500.top,top,276
35193,750.xtc,xtc,200061900
35193,300.tpr,tpr,1555440
35193,1000.ndx,ndx,1582658
35193,750.top,top,276
35193,130.xtc,xtc,197934688
35193,300.top,top,276
35193,500.ndx,ndx,1576762
35193,750.ndx,ndx,1579748
35193,md.mdp,mdp,1024
35193,1000.xtc,xtc,200831400
53887,ener.edr,edr,208002116
53887,traj.xtc,xtc,3447568
53887,md.log,log,26471
53887,topol.tpr,tpr,263824
168053,back_view.jpg,jpg,788839
168053,co600.jpg,jpg,1019423
168053,cooh1700.jpg,jpg,604871
168053,cooh1.jpg,jpg,615897
168053,cooh2300.jpg,jpg,611135
168053,cooh2800.jpg,jpg,636217
168053,cooh3200.jpg,jpg,564879
168053,dirka1400.jpg,jpg,459251
168053,dirka1.jpg,jpg,467764
168053,dirka2000.jpg,jpg,443975
168053,dirka3000.jpg,jpg,449723
168053,dirka3500.jpg,jpg,395976
168053,epoxy1500.jpg,jpg,638948
168053,epoxy1.jpg,jpg,662838
168053,epoxy2500.jpg,jpg,606890
168053,epoxy2900.jpg,jpg,635628
168053,epoxy3300.jpg,jpg,725774
168053,epoxy3500.jpg,jpg,765714
168053,face_view.jpg,jpg,641310
168053,oh1000.jpg,jpg,668852
168053,oh1400.jpg,jpg,670173
168053,oh1.jpg,jpg,678533
168053,oh2000.jpg,jpg,748473
168053,oh2500.jpg,jpg,915360
168053,side_view.jpg,jpg,231970
50904,run3.gro,gro,3666841
50904,run3.tpr,tpr,1716336
50904,run3.mdp,mdp,1131
50904,topol.top,top,438
50904,TIP3.itp,itp,635
50904,charmm36.itp,itp,6196
50904,run3.xtc,xtc,387617352
50904,SDS.itp,itp,11885
50904,SOD.itp,itp,363
50904,run3.edr,edr,6121316
2276687,bxd_cd3cn.zip,zip,1472867360
51748,ffgmx.atp,atp,2633
51748,tap50W_150ns.gro,gro,1484381
51748,ffgmx.itp,itp,169
51748,ffgmxbon.itp,itp,30883
51748,tap50W_1-190ns.edr,edr,291841456
51748,tap50W_41-190ns.xtc,xtc,1175648344
51748,tap50W_150ns.tpr,tpr,3356452
51748,ffgmxnb.itp,itp,95159
51748,tap50W.ndx,ndx,361589
51748,tap50W.top,top,437
51748,dmtap.itp,itp,10205
51748,dmpc.itp,itp,12214
51747,tap75W_31-140ns.xtc,xtc,873425100
51747,ffgmx.atp,atp,2633
51747,tap75W_1-140ns.edr,edr,215041456
51747,ffgmx.itp,itp,169
51747,ffgmxbon.itp,itp,30883
51747,tap75W.top,top,432
51747,tap75W.tpr,tpr,3375012
51747,tap75W_140ns.gro,gro,1504253
51747,tap75W.ndx,ndx,366830
51747,dmpc.itp,itp,12213
51747,ffgmxnb.itp,itp,95159
51747,dmtap.itp,itp,10204
51747,tap75W_140ns.tpr,tpr,3375012
51639,ffgmx.atp,atp,2633
51639,tap06W_1-141ns.edr,edr,216577456
51639,ffgmx.itp,itp,169
51639,tap06W.tpr,tpr,3341348
51639,ffgmxbon.itp,itp,30883
51639,dmpc.itp,itp,12212
51639,ffgmxnb.itp,itp,95159
51639,tap06W.top,top,451
51639,dmtap.itp,itp,10203
51639,tap06W_32-141ns.xtc,xtc,851138376
51639,tap06W.mdp,mdp,945
51639,tap06W.ndx,ndx,354763
204818,MDANSE_2016_Workshop_data.zip,zip,969566137
53091,tap50s10_21-191ns.xtc,xtc,1313461096
53091,ffgmx.atp,atp,2633
53091,tap50s10.ndx,ndx,354753
53091,tap50s10_100ns.gro,gro,1458450
53091,ffgmx.itp,itp,169
53091,tap50s10.top,top,535
53091,ffgmxbon.itp,itp,30883
53091,dmpc.itp,itp,12082
53091,tap50s10.mdp,mdp,947
53091,ffgmxnb.itp,itp,95159
53091,dmtap.itp,itp,10073
53091,tap50s10_1-191ns.edr,edr,293377456
53091,tap50s10_1ns.tpr,tpr,3305704
53222,tap06s10.mdp,mdp,947
53222,tap06s10.top,top,508
53222,ffgmx.atp,atp,2633
53222,tap06s10.ndx,ndx,348291
53222,tap06s10_1ns_dk.tpr,tpr,3293312
53222,tap06s10_1-242ns.edr,edr,371713456
53222,ffgmx.itp,itp,169
53222,tap06s10_100ns.gro,gro,1433951
53222,tap06s10_12-242ns.xtc,xtc,1753961284
53222,ffgmxbon.itp,itp,30883
53222,dmpc.itp,itp,12082
53222,ffgmxnb.itp,itp,95159
53222,dmtap.itp,itp,10073
51754,ffgmx.atp,atp,2633
51754,tap75s05.top,top,530
51754,tap75s05_100ns.gro,gro,1490739
51754,ffgmx.itp,itp,169
51754,ffgmxbon.itp,itp,30883
51754,ffgmxnb.itp,itp,95159
51754,tap75s05.mdp,mdp,947
51754,tap75s05_1ns.tpr,tpr,3348744
51754,tap75s05.ndx,ndx,363270
51754,tap75s05_11-121ns.xtc,xtc,866671216
51754,tap75s05_1-121ns.edr,edr,185857456
51754,dmtap.itp,itp,10073
51754,dmpc.itp,itp,12082
51750,ffgmx.atp,atp,2633
51750,tap75s10_1ns.tpr,tpr,3323164
51750,ffgmx.itp,itp,169
51750,tap75s10_11-121ns.xtc,xtc,860492676
51750,tap75s10_100ns.gro,gro,1477757
51750,ffgmxnb.itp,itp,95159
51750,ffgmxbon.itp,itp,30883
51750,dmpc.itp,itp,12082
51750,tap75s10_1-121ns.edr,edr,185857456
51750,dmtap.itp,itp,10073
51750,tap75s10.top,top,521
51750,tap75s10.mdp,mdp,947
51750,tap75s10.ndx,ndx,359848
51760,tap75s01.mdp,mdp,947
51760,tap75s01.top,top,530
51760,ffgmx.atp,atp,2633
51760,tap75s01.ndx,ndx,366109
51760,tap75s01_100ns.gro,gro,1501503
51760,ffgmx.itp,itp,169
51760,tap75s01_11-121ns.xtc,xtc,871796700
51760,ffgmxbon.itp,itp,30883
51760,tap75s01_1-121ns.edr,edr,185857456
51760,ffgmxnb.itp,itp,95159
51760,dmtap.itp,itp,10073
51760,tap75s01_1ns.tpr,tpr,3369960
51760,dmpc.itp,itp,12082
53212,tap50s01.top,top,503
53212,tap50s01_tri.mdp,mdp,948
53212,tap50s01_100ns.gro,gro,1481626
53212,ffgmx.itp,itp,169
53212,ffgmxbon.itp,itp,30883
53212,tap50s01_1ns.tpr,tpr,3090612
53212,tap50s01_21-211ns.xtc,xtc,1486723368
53212,dmpc.itp,itp,12082
53212,ffgmxnb.itp,itp,95159
53212,tap50s01_1-211ns.edr,edr,324097456
53212,dmtap.itp,itp,10073
53212,tap50s01.ndx,ndx,360867
53151,ffgmx.atp,atp,2633
53151,tap50s05_101ns.tpr,tpr,3330728
53151,tap50s05_1-200ns.edr,edr,307201456
53151,tap50s05_21-200ns.xtc,xtc,1392133804
53151,tap50s05.ndx,ndx,358102
53151,ffgmxbon.itp,itp,30883
53151,tap50s05_200ns.gro,gro,1471143
53151,dmpc.itp,itp,12082
53151,tap50s05.top,top,531
53151,ffgmxnb.itp,itp,95159
53151,tap50s05.mdp,mdp,947
53151,dmtap.itp,itp,10073
53151,ffgmx.itp,itp,169
167336,Berger-OPLS.zip,zip,935391604
167336,Berger.zip,zip,2682797793
167336,C36.zip,zip,7973187854
167336,Lipid14.zip,zip,9841903536
167336,lipidwiseOPsVStime.zip,zip,638972825
167336,MacRog.zip,zip,876700210
167336,Orange.zip,zip,1573413486
167336,Slipid.zip,zip,4013033888
167336,tprsAndSuch.zip,zip,57813664
167336,Ulmschneiders.zip,zip,6440835773
61743,POPC_martini_nvt_cm_600ns.ap,ap,823251028
61742,POPC_martini_nvt_cm_300ps.ap,ap,251759784
267916,300ns_setup_I_all.pdb,pdb,65072770
267916,300ns_setup_II_all.pdb,pdb,65072454
894325,Anatase-001-traj.pdb.gz,gz,905673742
894325,Anatase-100-traj.pdb.gz,gz,654879181
894325,Anatase-101-traj.pdb.gz,gz,669859284
894325,README,,549
894325,Rutile-001-traj.pdb.gz,gz,1171822480
894325,Rutile-100-traj.pdb.gz,gz,723773130
894325,Rutile-110-traj.pdb.gz,gz,683700579
496147,paper_data.tar.gz,gz,15648766
847637,AT_P-gp_in_complex_bilayer_1.gro,gro,17912352
847637,AT_P-gp_in_complex_bilayer_1.xtc,xtc,194679880
847637,AT_P-gp_in_complex_bilayer_2.gro,gro,17903106
847637,AT_P-gp_in_complex_bilayer_2.xtc,xtc,194731580
847637,AT_P-gp_in_complex_bilayer_3.gro,gro,17894343
847637,AT_P-gp_in_complex_bilayer_3.xtc,xtc,194486628
847637,CG_P-gp_in_complex_bilayer_1.gro,gro,1670713
847637,CG_P-gp_in_complex_bilayer_1.xtc,xtc,121751208
847637,CG_P-gp_in_complex_bilayer_2.gro,gro,1668643
847637,CG_P-gp_in_complex_bilayer_2.xtc,xtc,121593516
847637,CG_P-gp_in_complex_bilayer_3.gro,gro,1670644
847637,CG_P-gp_in_complex_bilayer_3.xtc,xtc,121753064
1010438,AMBER_run_prot.mdp,mdp,1801
1010438,opc.itp,itp,1492
1010438,opc.top,top,1709
1010438,run1-3.xtc,xtc,12955088876
1010438,run.gro,gro,2193426
1010438,run.tpr,tpr,1420616
1010438,topol.top,top,483161
1010416,AMBER_run_prot.mdp,mdp,1804
1010416,HN.ndx,ndx,1840
1010416,run.gro,gro,2193426
1010416,run.tpr,tpr,1420584
1010416,run.xtc,xtc,4322414564
1010406,HN.ndx,ndx,1840
1010406,run.gro,gro,2193426
1010406,run.tpr,tpr,1420584
1010406,run.xtc,xtc,4321983756
438697,ATPsynth_ca_mut.psf,psf,3610471
438697,ATPsynth_woh2o_Ca_mut.dcd,dcd,30481600276
438997,ATPsynth_mg_wt.psf,psf,3610763
438997,ATPsynth_woh2o_Mg_wt.dcd,dcd,30487000276
438943,ATPsynth_mg_mut.psf,psf,3610471
438943,ATPsynth_woh2o_Mg_mut.dcd,dcd,30482819540
438711,ATPsynth_ca_wt.psf,psf,3611103
438711,ATPsynth_woh2o_Ca_wt.dcd,dcd,30487000276
1010142,AMBER_run_prot.mdp,mdp,1804
1010142,HN.ndx,ndx,1740
1010142,run1-2.xtc,xtc,7990015540
1010142,run.gro,gro,1915140
1010142,run.tpr,tpr,1248752
1010142,topol.top,top,430931
1010352,AMBER_run_prot.mdp,mdp,1804
1010352,NH.ndx,ndx,1740
1010352,run.gro,gro,2568984
1010352,run.tpr,tpr,1552636
1010352,run.xtc,xtc,5099555100
1010352,topol.top,top,430933
1010232,AMBER_run_prot.mdp,mdp,1803
1010232,begin.gro,gro,1249067
1010232,conf.gro,gro,65387
1010232,NH.ndx,ndx,1740
1010232,run70ns.gro,gro,1915178
1010232,runFIT_200-570ns.xtc,xtc,4455300736
1010232,run.tpr,tpr,1248732
1010232,topol.top,top,430931
1010238,mdout.mdp,mdp,11779
1010238,NH.ndx,ndx,1740
1010238,run_100-470ns.xtc,xtc,4731005040
1010238,run70ns.gro,gro,2569022
1010238,run.tpr,tpr,1552616
1010238,topol.top,top,430933
1010357,HN.ndx,ndx,1740
1010357,opc.itp,itp,1492
1010357,run1-2.xtc,xtc,10192328384
1010357,run.gro,gro,2568984
1010357,run.tpr,tpr,1552668
1010357,topol.top,top,430929
1095572,compiled_methylation450K_data.tar.gz,gz,352230996
1095572,compiled_methylationEPIC_data.tar.gz,gz,223512872
1095572,Figure1.pdf,pdf,1797710
1095572,Figure2.pdf,pdf,1607208
1095572,Figure3.pdf,pdf,926900
1095572,Figure4.pdf,pdf,1000363
1095572,Figure5.pdf,pdf,1247191
1095572,Figure6.pdf,pdf,2631676
1095572,FigureS1.pdf,pdf,2845134
1095572,FigureS2.pdf,pdf,6086100
1095572,FigureS3.pdf,pdf,1301354
1095572,FigureS4.pdf,pdf,7994071
1095572,FigureS5.pdf,pdf,1303590
1095572,FigureS6.pdf,pdf,807922
1095572,FigureS7.pdf,pdf,571348
1095572,Supp_Table_10.xls,xls,652800
1095572,Supp_Table_11.xls,xls,6981632
1095572,Supp_Table_12.xls,xls,4870144
1095572,Supp_Table_13.xls,xls,4868096
1095572,Supp_Table_1.xls,xls,18432
1095572,Supp_Table_2.xls,xls,30481920
1095572,Supp_Table_3.xls,xls,17931264
1095572,Supp_Table_4.xls,xls,5658112
1095572,Supp_Table_5.xls,xls,10487808
1095572,Supp_Table_6.xls,xls,4328448
1095572,Supp_Table_7.xls,xls,6568448
1095572,Supp_Table_8.xls,xls,2578944
1095572,Supp_Table_9.xls,xls,60416
824133,LAMMPS.rar,rar,334138186
3335503,ecc-lipids.itp,itp,6846
3335503,ECC-POPC_amber-lipid14-atomic-names.itp,itp,101597
3335503,ECC-POPC_charmm36-atomic-names.itp,itp,62861
3335503,ions.itp,itp,3529
3335503,ions_nb_sigma_eps.itp,itp,1552
3335503,lipid14.itp,itp,3837
3335503,npt_lipid_bilayer.mdp,mdp,3614
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.cpt,cpt,1060892
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.edr,edr,9607812
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.gro,gro,3045515
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.top,top,412
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.tpr,tpr,1457532
3335503,sim_ECC-POPC_105mM_CaCl-2s_SPCE.xtc,xtc,2445666284
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.cpt,cpt,876140
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.edr,edr,9606852
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.gro,gro,2514353
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.top,top,413
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.tpr,tpr,1211196
3335503,sim_ECC-POPC_251mM_CaCl-2s_SPCE.xtc,xtc,2029197204
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.cpt,cpt,876932
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.dcd,dcd,6566160276
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.edr,edr,9607172
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.gro,gro,2516630
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.top,top,413
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.tpr,tpr,1212252
3335503,sim_ECC-POPC_346mM_CaCl-2s_SPCE.xtc,xtc,2031588028
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.cpt,cpt,877940
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.edr,edr,9606852
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.gro,gro,2519528
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.top,top,413
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.tpr,tpr,1213596
3335503,sim_ECC-POPC_467mM_CaCl-2s_SPCE.xtc,xtc,2034711368
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.cpt,cpt,867716
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.edr,edr,9606852
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.gro,gro,2490134
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.top,top,413
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.tpr,tpr,1199964
3335503,sim_ECC-POPC_711mM_CaCl-2s_SPCE.xtc,xtc,2013266872
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.cpt,cpt,869856
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.dcd,dcd,6513240276
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.edr,edr,9601732
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.gro,gro,2496344
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.top,top,413
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.tpr,tpr,1202744
3335503,sim_ECC-POPC_978mM_CaCl-2s_SPCE.xtc,xtc,2019751340
3335503,sim_ECC-POPC_978mM_KCl_SPCE.cpt,cpt,867212
3335503,sim_ECC-POPC_978mM_KCl_SPCE.edr,edr,9602052
3335503,sim_ECC-POPC_978mM_KCl_SPCE.gro,gro,2488754
3335503,sim_ECC-POPC_978mM_KCl_SPCE.top,top,413
3335503,sim_ECC-POPC_978mM_KCl_SPCE.tpr,tpr,1199324
3335503,sim_ECC-POPC_978mM_KCl_SPCE.xtc,xtc,2011296688
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.cpt,cpt,867240
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.edr,edr,7308932
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.gro,gro,2488754
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.top,top,413
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.tpr,tpr,1199324
3335503,sim_ECC-POPC_978mM_NaCl_SPCE.xtc,xtc,2011680040
3335503,sim_ECC-POPC_SPCE_noIons-ref_2fs-dt.dcd,dcd,4363040276
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.cpt,cpt,874080
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.dcd,dcd,4363040276
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.edr,edr,9601924
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.gro,gro,2508350
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.top,top,415
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.tpr,tpr,1206604
3335503,sim_ECC-POPC_SPCE_noIons-ref_300K.xtc,xtc,2022717280
3335503,sim_ECC-POPC_SPCE_noIons-ref.cpt,cpt,873792
3335503,sim_ECC-POPC_SPCE_noIons-ref.dcd,dcd,6544560276
3335503,sim_ECC-POPC_SPCE_noIons-ref.edr,edr,3201924
3335503,sim_ECC-POPC_SPCE_noIons-ref.gro,gro,2508350
3335503,sim_ECC-POPC_SPCE_noIons-ref.top,top,415
3335503,sim_ECC-POPC_SPCE_noIons-ref.tpr,tpr,1206488
3335503,sim_ECC-POPC_SPCE_noIons-ref.xtc,xtc,674250236
1050388,AB16Paper1.tar.gz,gz,3990858492
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.cpt,cpt,876144
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.edr,edr,2372
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.gro,gro,2514353
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.top,top,419
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.tpr,tpr,1211096
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC3.xtc,xtc,2024457120
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.cpt,cpt,1029740
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.edr,edr,2372
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.gro,gro,2955953
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.top,top,368
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.tpr,tpr,1416420
1118980,sim_ECC-POPC_251mM_CaCl-2s_OPC4.xtc,xtc,2294106356
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.cpt,cpt,876932
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.edr,edr,2372
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.gro,gro,2516630
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.top,top,419
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.tpr,tpr,1212152
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC3.xtc,xtc,2026931472
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.cpt,cpt,1030536
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.edr,edr,2372
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.gro,gro,2958230
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.top,top,368
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.tpr,tpr,1417476
1118980,sim_ECC-POPC_346mM_CaCl-2s_OPC4.xtc,xtc,2296483184
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.cpt,cpt,877924
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.edr,edr,3202052
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.gro,gro,2519528
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.top,top,419
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.tpr,tpr,1213496
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC3.xtc,xtc,676812392
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.cpt,cpt,1031524
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.edr,edr,70212
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.gro,gro,2961128
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.top,top,419
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.tpr,tpr,1418820
1118980,sim_ECC-POPC_467mM_CaCl-2s_OPC4.xtc,xtc,16494592
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.cpt,cpt,867532
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.edr,edr,9602052
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.gro,gro,2490134
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.top,top,419
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.tpr,tpr,1199864
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC3.xtc,xtc,2008467264
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.cpt,cpt,1017100
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.edr,edr,9602052
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.gro,gro,2920142
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.top,top,368
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.tpr,tpr,1399812
1118980,sim_ECC-POPC_711mM_CaCl-2s_OPC4.xtc,xtc,2270680384
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.cpt,cpt,869684
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.edr,edr,9602052
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.gro,gro,2496344
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.top,top,419
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.tpr,tpr,1202744
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC3.xtc,xtc,2015100804
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.cpt,cpt,1019252
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.edr,edr,9602052
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.gro,gro,2926352
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.top,top,368
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.tpr,tpr,1402692
1118980,sim_ECC-POPC_978mM_CaCl-2s_OPC4.xtc,xtc,2277252384
1118980,sim_ECC-POPC_978mM_CaCl-2s_TIP3p.cpt,cpt,869876
